2025-04-15 21:18:27,122 - INFO - Player 2, Action 18, Action type pick token, Total tokens 13, Next player 2
2025-04-15 21:18:27,125 - INFO - Player 3, Action 9, Action type pick token, Total tokens 6, Next player 3
2025-04-15 21:18:27,127 - INFO - Player 0, Action 1, Action type pick token, Total tokens 7, Next player 0
2025-04-15 21:18:27,129 - INFO - Player 1, Action 27, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,130 - INFO - Player 1, Action 82, Action type return token, Total tokens 11, Next player 1
2025-04-15 21:18:27,132 - INFO - Player 2, Action 74, Action type return token, Total tokens 8, Next player 2
2025-04-15 21:18:27,135 - INFO - Player 3, Action 15, Action type pick token, Total tokens 9, Next player 3
2025-04-15 21:18:27,137 - INFO - Player 0, Action 25, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,138 - INFO - Player 1, Action 68, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:18:27,141 - INFO - Player 2, Action 4, Action type pick token, Total tokens 9, Next player 2
2025-04-15 21:18:27,143 - INFO - Player 3, Action 1, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:18:27,145 - INFO - Player 0, Action 55, Action type buy reserved, Total tokens 7, Next player 0
2025-04-15 21:18:27,148 - INFO - Player 1, Action 6, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,150 - INFO - Player 2, Action 32, Action type buy card, Total tokens 7, Next player 2
2025-04-15 21:18:27,153 - INFO - Player 3, Action 12, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,155 - INFO - Player 0, Action 48, Action type reserve card, Total tokens 8, Next player 0
2025-04-15 21:18:27,157 - INFO - Player 1, Action 73, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,159 - INFO - Player 2, Action 32, Action type buy card, Total tokens 6, Next player 2
2025-04-15 21:18:27,161 - INFO - Player 2, Action 61, Action type return token, Total tokens 11, Next player 2
2025-04-15 21:18:27,163 - INFO - Player 3, Action 59, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,165 - INFO - Player 0, Action 15, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:18:27,167 - INFO - Player 1, Action 12, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,170 - INFO - Player 2, Action 9, Action type pick token, Total tokens 8, Next player 2
2025-04-15 21:18:27,171 - INFO - Player 3, Action 19, Action type pick token, Total tokens 13, Next player 3
2025-04-15 21:18:27,172 - INFO - Player 0, Action 74, Action type return token, Total tokens 8, Next player 0
2025-04-15 21:18:27,174 - INFO - Player 1, Action 82, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,177 - INFO - Player 2, Action 14, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:18:27,179 - INFO - Player 3, Action 72, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,181 - INFO - Player 0, Action 2, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,183 - INFO - Player 1, Action 29, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,185 - INFO - Player 2, Action 25, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,187 - INFO - Player 3, Action 26, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,190 - INFO - Player 0, Action 30, Action type buy card, Total tokens 8, Next player 0
2025-04-15 21:18:27,191 - INFO - Player 1, Action 71, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,192 - INFO - Player 2, Action 73, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:18:27,194 - INFO - Player 3, Action 65, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,198 - INFO - Player 0, Action 55, Action type buy reserved, Total tokens 5, Next player 0
2025-04-15 21:18:27,200 - INFO - Player 1, Action 23, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,203 - INFO - Player 2, Action 24, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,205 - INFO - Player 3, Action 40, Action type buy card, Total tokens 3, Next player 3
2025-04-15 21:18:27,207 - INFO - Player 0, Action 47, Action type reserve card, Total tokens 6, Next player 0
2025-04-15 21:18:27,208 - INFO - Player 1, Action 74, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,211 - INFO - Player 2, Action 64, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,213 - INFO - Player 3, Action 1, Action type pick token, Total tokens 4, Next player 3
2025-04-15 21:18:27,216 - INFO - Player 0, Action 15, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,219 - INFO - Player 1, Action 5, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,221 - INFO - Player 2, Action 7, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,225 - INFO - Player 3, Action 30, Action type buy card, Total tokens 2, Next player 3
2025-04-15 21:18:27,227 - INFO - Player 0, Action 22, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:18:27,228 - INFO - Player 1, Action 57, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:18:27,230 - INFO - Player 1, Action 57, Action type return token, Total tokens 11, Next player 1
