2025-04-15 21:35:30,374 - INFO - Player 3, Action 10, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,375 - INFO - Player 0, Action 7, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,378 - INFO - Player 1, Action 30, Action type buy card, Total tokens 7, Next player 1
2025-04-15 21:35:30,380 - INFO - Player 2, Action 16, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,382 - INFO - Player 3, Action 33, Action type buy card, Total tokens 8, Next player 3
2025-04-15 21:35:30,384 - INFO - Player 0, Action 20, Action type pick token, Total tokens 13, Next player 0
2025-04-15 21:35:30,386 - INFO - Player 1, Action 7, Action type pick token, Total tokens 9, Next player 1
2025-04-15 21:35:30,388 - INFO - Player 2, Action 28, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,390 - INFO - Player 3, Action 33, Action type buy card, Total tokens 7, Next player 3
2025-04-15 21:35:30,392 - INFO - Player 0, Action 74, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,393 - INFO - Player 1, Action 8, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,395 - INFO - Player 2, Action 74, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,396 - INFO - Player 3, Action 26, Action type pick token, Total tokens 9, Next player 3
2025-04-15 21:35:30,398 - INFO - Player 0, Action 11, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,400 - INFO - Player 1, Action 66, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,402 - INFO - Player 2, Action 1, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,404 - INFO - Player 3, Action 31, Action type buy card, Total tokens 7, Next player 3
2025-04-15 21:35:30,406 - INFO - Player 0, Action 64, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,408 - INFO - Player 1, Action 18, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:35:30,409 - INFO - Player 2, Action 25, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,411 - INFO - Player 3, Action 0, Action type pick token, Total tokens 8, Next player 3
2025-04-15 21:35:30,413 - INFO - Player 0, Action 33, Action type buy card, Total tokens 6, Next player 0
2025-04-15 21:35:30,415 - INFO - Player 1, Action 75, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,416 - INFO - Player 2, Action 62, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:35:30,418 - INFO - Player 3, Action 10, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,420 - INFO - Player 0, Action 28, Action type pick token, Total tokens 8, Next player 0
2025-04-15 21:35:30,422 - INFO - Player 1, Action 6, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,424 - INFO - Player 2, Action 2, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,426 - INFO - Player 3, Action 35, Action type buy card, Total tokens 7, Next player 3
2025-04-15 21:35:30,428 - INFO - Player 0, Action 9, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,429 - INFO - Player 1, Action 70, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,431 - INFO - Player 2, Action 73, Action type return token, Total tokens 8, Next player 2
2025-04-15 21:35:30,434 - INFO - Player 3, Action 23, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,436 - INFO - Player 0, Action 22, Action type pick token, Total tokens 13, Next player 0
2025-04-15 21:35:30,438 - INFO - Player 1, Action 54, Action type buy reserved, Total tokens 6, Next player 1
2025-04-15 21:35:30,440 - INFO - Player 2, Action 25, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,442 - INFO - Player 3, Action 5, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:35:30,443 - INFO - Player 3, Action 58, Action type return token, Total tokens 12, Next player 3
2025-04-15 21:35:30,444 - INFO - Player 3, Action 59, Action type return token, Total tokens 11, Next player 3
2025-04-15 21:35:30,445 - INFO - Player 0, Action 58, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,448 - INFO - Player 1, Action 48, Action type reserve card, Total tokens 7, Next player 1
2025-04-15 21:35:30,449 - INFO - Player 2, Action 9, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,451 - INFO - Player 3, Action 68, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:35:30,452 - INFO - Player 0, Action 10, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,455 - INFO - Player 1, Action 33, Action type buy card, Total tokens 4, Next player 1
2025-04-15 21:35:30,456 - INFO - Player 2, Action 64, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:35:30,458 - INFO - Player 3, Action 23, Action type pick token, Total tokens 13, Next player 3
2025-04-15 21:35:30,459 - INFO - Player 0, Action 83, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,461 - INFO - Player 1, Action 2, Action type pick token, Total tokens 5, Next player 1
2025-04-15 21:35:30,462 - INFO - Player 2, Action 1, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,463 - INFO - Player 2, Action 57, Action type return token, Total tokens 12, Next player 2
2025-04-15 21:35:30,465 - INFO - Player 3, Action 77, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:35:30,467 - INFO - Player 0, Action 11, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,468 - INFO - Player 1, Action 3, Action type pick token, Total tokens 6, Next player 1
2025-04-15 21:35:30,470 - INFO - Player 2, Action 82, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,471 - INFO - Player 3, Action 30, Action type buy card, Total tokens 6, Next player 3
2025-04-15 21:35:30,472 - INFO - Player 0, Action 70, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,474 - INFO - Player 1, Action 9, Action type pick token, Total tokens 8, Next player 1
2025-04-15 21:35:30,476 - INFO - Player 2, Action 4, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,478 - INFO - Player 3, Action 9, Action type pick token, Total tokens 8, Next player 3
2025-04-15 21:35:30,480 - INFO - Player 0, Action 31, Action type buy card, Total tokens 7, Next player 0
