2025-04-29 01:26:39,202 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 01:26:39,202 - __main__ - INFO - Debug mode: True
2025-04-29 01:26:39,214 - __main__ - INFO - ==================================================
2025-04-29 01:26:39,214 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 01:26:39,214 - __main__ - INFO - ==================================================
2025-04-29 01:26:39,215 - __main__ - INFO - Card feature dimension: 8
2025-04-29 01:26:39,215 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 01:26:39,215 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 01:26:39,215 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 01:26:39,217 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 01:26:39,217 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 01:26:39,217 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 01:26:39,217 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 01:26:39,217 - __main__ - INFO - Action dimension: 88
2025-04-29 01:26:39,218 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 01:26:39,218 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 01:26:39,219 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 01:26:39,219 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 01:27:06,380 - __main__ - DEBUG - Game 1, Step 41: Player 0 chose action 3
2025-04-29 01:27:07,167 - __main__ - DEBUG - Game 1, Step 42: Player 1 chose action 0
2025-04-29 01:27:07,904 - __main__ - DEBUG - Game 1, Step 43: Player 2 chose action 43
2025-04-29 01:27:08,944 - __main__ - DEBUG - Game 1, Step 44: Player 3 chose action 0
2025-04-29 01:27:09,705 - __main__ - DEBUG - Game 1, Step 45: Player 0 chose action 57
2025-04-29 01:27:10,585 - __main__ - DEBUG - Game 1, Step 46: Player 1 chose action 0
2025-04-29 01:27:11,304 - __main__ - DEBUG - Game 1, Step 47: Player 2 chose action 0
2025-04-29 01:27:11,997 - __main__ - DEBUG - Game 1, Step 48: Player 3 chose action 72
2025-04-29 01:27:12,604 - __main__ - DEBUG - Game 1, Step 49: Player 0 chose action 51
2025-04-29 01:27:13,323 - __main__ - DEBUG - Game 1, Step 50: Player 1 chose action 57
2025-04-29 01:27:14,074 - __main__ - DEBUG - Game 1, Step 51: Player 2 chose action 2
2025-04-29 01:27:14,904 - __main__ - DEBUG - Game 1, Step 52: Player 3 chose action 0
2025-04-29 01:27:15,787 - __main__ - DEBUG - Game 1, Step 53: Player 0 chose action 1
2025-04-29 01:27:16,646 - __main__ - DEBUG - Game 1, Step 54: Player 1 chose action 3
2025-04-29 01:27:17,427 - __main__ - DEBUG - Game 1, Step 55: Player 2 chose action 0
2025-04-29 01:27:18,044 - __main__ - DEBUG - Game 1, Step 56: Player 3 chose action 53
2025-04-29 01:27:18,646 - __main__ - DEBUG - Game 1, Step 57: Player 0 chose action 61
2025-04-29 01:27:19,522 - __main__ - DEBUG - Game 1, Step 58: Player 1 chose action 57
2025-04-29 01:27:20,676 - __main__ - DEBUG - Game 1, Step 59: Player 2 chose action 4
2025-04-29 01:27:21,893 - __main__ - DEBUG - Game 1, Step 60: Player 3 chose action 0
2025-04-29 01:27:22,888 - __main__ - DEBUG - Game 1, Step 61: Player 0 chose action 30
2025-04-29 01:27:23,839 - __main__ - DEBUG - Game 1, Step 62: Player 1 chose action 1
2025-04-29 01:27:24,706 - __main__ - DEBUG - Game 1, Step 63: Player 2 chose action 26
2025-04-29 01:27:25,439 - __main__ - DEBUG - Game 1, Step 64: Player 3 chose action 30
2025-04-29 01:27:26,035 - __main__ - DEBUG - Game 1, Step 65: Player 0 chose action 1
2025-04-29 01:27:26,655 - __main__ - DEBUG - Game 1, Step 66: Player 1 chose action 57
2025-04-29 01:27:27,269 - __main__ - DEBUG - Game 1, Step 67: Player 2 chose action 57
2025-04-29 01:27:28,019 - __main__ - DEBUG - Game 1, Step 68: Player 2 chose action 57
2025-04-29 01:27:28,848 - __main__ - DEBUG - Game 1, Step 69: Player 3 chose action 0
2025-04-29 01:27:29,694 - __main__ - DEBUG - Game 1, Step 70: Player 0 chose action 4
2025-04-29 01:27:30,555 - __main__ - DEBUG - Game 1, Step 71: Player 1 chose action 0
2025-04-29 01:27:31,443 - __main__ - DEBUG - Game 1, Step 72: Player 2 chose action 4
2025-04-29 01:27:32,208 - __main__ - DEBUG - Game 1, Step 73: Player 3 chose action 0
2025-04-29 01:27:33,038 - __main__ - DEBUG - Game 1, Step 74: Player 0 chose action 1
2025-04-29 01:27:33,767 - __main__ - DEBUG - Game 1, Step 75: Player 1 chose action 60
2025-04-29 01:27:34,717 - __main__ - DEBUG - Game 1, Step 76: Player 2 chose action 59
2025-04-29 01:27:35,663 - __main__ - DEBUG - Game 1, Step 77: Player 3 chose action 3
2025-04-29 01:27:36,508 - __main__ - DEBUG - Game 1, Step 78: Player 0 chose action 2
2025-04-29 01:27:37,352 - __main__ - DEBUG - Game 1, Step 79: Player 1 chose action 33
