2025-04-29 09:43:42,683 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 09:43:42,683 - __main__ - INFO - Debug mode: True
2025-04-29 09:43:42,696 - __main__ - INFO - ==================================================
2025-04-29 09:43:42,696 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 09:43:42,697 - __main__ - INFO - ==================================================
2025-04-29 09:43:42,697 - __main__ - INFO - Card feature dimension: 8
2025-04-29 09:43:42,697 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 09:43:42,697 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 09:43:42,697 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 09:43:42,699 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 09:43:42,700 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 09:43:42,700 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 09:43:42,700 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 09:43:42,700 - __main__ - INFO - Action dimension: 88
2025-04-29 09:43:42,701 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 09:43:42,926 - __main__ - INFO - Using device: cuda
2025-04-29 09:43:44,204 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-29 09:43:44,204 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=2048, replay_size=10000, num_simulations=100
2025-04-29 09:43:44,205 - __main__ - INFO - ==================================================
2025-04-29 09:43:44,207 - __main__ - WARNING - Model file models/alphazero_final.pth not found. Starting with a new model.
2025-04-29 09:43:44,207 - __main__ - INFO - Starting AlphaZero training from iteration 1 for 20 iterations
2025-04-29 09:44:10,274 - __main__ - DEBUG - Game 1, Step 42: Player 1 chose action 25
2025-04-29 09:44:11,029 - __main__ - DEBUG - Game 1, Step 43: Player 2 chose action 32
2025-04-29 09:44:11,604 - __main__ - DEBUG - Game 1, Step 44: Player 3 chose action 20
2025-04-29 09:44:12,124 - __main__ - DEBUG - Game 1, Step 45: Player 0 chose action 12
2025-04-29 09:44:12,811 - __main__ - DEBUG - Game 1, Step 46: Player 1 chose action 76
2025-04-29 09:44:13,368 - __main__ - DEBUG - Game 1, Step 47: Player 2 chose action 24
2025-04-29 09:44:13,925 - __main__ - DEBUG - Game 1, Step 48: Player 3 chose action 3
2025-04-29 09:44:14,497 - __main__ - DEBUG - Game 1, Step 49: Player 0 chose action 58
2025-04-29 09:44:15,095 - __main__ - DEBUG - Game 1, Step 50: Player 0 chose action 73
2025-04-29 09:44:15,763 - __main__ - DEBUG - Game 1, Step 51: Player 1 chose action 31
2025-04-29 09:44:16,399 - __main__ - DEBUG - Game 1, Step 52: Player 2 chose action 3
2025-04-29 09:44:17,124 - __main__ - DEBUG - Game 1, Step 53: Player 3 chose action 26
2025-04-29 09:44:17,809 - __main__ - DEBUG - Game 1, Step 54: Player 0 chose action 8
2025-04-29 09:44:18,480 - __main__ - DEBUG - Game 1, Step 55: Player 1 chose action 29
2025-04-29 09:44:19,108 - __main__ - DEBUG - Game 1, Step 56: Player 2 chose action 0
2025-04-29 09:44:19,704 - __main__ - DEBUG - Game 1, Step 57: Player 3 chose action 58
2025-04-29 09:44:20,425 - __main__ - DEBUG - Game 1, Step 58: Player 0 chose action 31
2025-04-29 09:44:21,101 - __main__ - DEBUG - Game 1, Step 59: Player 1 chose action 15
2025-04-29 09:44:21,865 - __main__ - DEBUG - Game 1, Step 60: Player 2 chose action 5
2025-04-29 09:44:22,490 - __main__ - DEBUG - Game 1, Step 61: Player 3 chose action 30
2025-04-29 09:44:22,971 - __main__ - DEBUG - Game 1, Step 62: Player 0 chose action 2
2025-04-29 09:44:23,393 - __main__ - DEBUG - Game 1, Step 63: Player 1 chose action 63
2025-04-29 09:44:23,967 - __main__ - DEBUG - Game 1, Step 64: Player 2 chose action 74
2025-04-29 09:44:24,607 - __main__ - DEBUG - Game 1, Step 65: Player 3 chose action 18
2025-04-29 09:44:25,386 - __main__ - DEBUG - Game 1, Step 66: Player 0 chose action 25
2025-04-29 09:44:26,090 - __main__ - DEBUG - Game 1, Step 67: Player 1 chose action 11
2025-04-29 09:44:26,864 - __main__ - DEBUG - Game 1, Step 68: Player 2 chose action 2
2025-04-29 09:44:27,625 - __main__ - DEBUG - Game 1, Step 69: Player 3 chose action 26
2025-04-29 09:44:28,289 - __main__ - DEBUG - Game 1, Step 70: Player 0 chose action 54
2025-04-29 09:44:28,786 - __main__ - DEBUG - Game 1, Step 71: Player 1 chose action 79
2025-04-29 09:44:29,310 - __main__ - DEBUG - Game 1, Step 72: Player 2 chose action 19
2025-04-29 09:44:29,958 - __main__ - DEBUG - Game 1, Step 73: Player 3 chose action 68
2025-04-29 09:44:30,518 - __main__ - DEBUG - Game 1, Step 74: Player 0 chose action 26
2025-04-29 09:44:31,012 - __main__ - DEBUG - Game 1, Step 75: Player 1 chose action 1
2025-04-29 09:44:31,508 - __main__ - DEBUG - Game 1, Step 76: Player 2 chose action 84
2025-04-29 09:44:32,070 - __main__ - DEBUG - Game 1, Step 77: Player 2 chose action 62
2025-04-29 09:44:32,680 - __main__ - DEBUG - Game 1, Step 78: Player 3 chose action 23
2025-04-29 09:44:33,335 - __main__ - DEBUG - Game 1, Step 79: Player 0 chose action 45
2025-04-29 09:44:34,040 - __main__ - DEBUG - Game 1, Step 80: Player 1 chose action 27
2025-04-29 09:44:34,693 - __main__ - DEBUG - Game 1, Step 81: Player 2 chose action 32
2025-04-29 09:44:35,217 - __main__ - DEBUG - Game 1, Step 82: Player 3 chose action 81
2025-04-29 09:44:35,811 - __main__ - DEBUG - Game 1, Step 83: Player 0 chose action 32
2025-04-29 09:44:36,442 - __main__ - DEBUG - Game 1, Step 84: Player 1 chose action 82
2025-04-29 09:44:37,092 - __main__ - DEBUG - Game 1, Step 85: Player 2 chose action 29
2025-04-29 09:44:37,824 - __main__ - DEBUG - Game 1, Step 86: Player 3 chose action 19
2025-04-29 09:44:38,487 - __main__ - DEBUG - Game 1, Step 87: Player 0 chose action 0
2025-04-29 09:44:39,070 - __main__ - DEBUG - Game 1, Step 88: Player 1 chose action 56
2025-04-29 09:44:39,599 - __main__ - DEBUG - Game 1, Step 89: Player 2 chose action 24
2025-04-29 09:44:40,144 - __main__ - DEBUG - Game 1, Step 90: Player 3 chose action 78
2025-04-29 09:44:40,689 - __main__ - DEBUG - Game 1, Step 91: Player 0 chose action 18
2025-04-29 09:44:41,283 - __main__ - DEBUG - Game 1, Step 92: Player 1 chose action 44
2025-04-29 09:44:41,921 - __main__ - DEBUG - Game 1, Step 93: Player 2 chose action 86
2025-04-29 09:44:42,555 - __main__ - DEBUG - Game 1, Step 94: Player 3 chose action 4
2025-04-29 09:44:43,201 - __main__ - DEBUG - Game 1, Step 95: Player 0 chose action 12
2025-04-29 09:44:43,879 - __main__ - DEBUG - Game 1, Step 96: Player 1 chose action 11
