2025-04-29 01:11:59,596 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 01:11:59,596 - __main__ - INFO - Debug mode: True
2025-04-29 01:11:59,608 - __main__ - INFO - ==================================================
2025-04-29 01:11:59,608 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 01:11:59,608 - __main__ - INFO - ==================================================
2025-04-29 01:11:59,609 - __main__ - INFO - Card feature dimension: 8
2025-04-29 01:11:59,609 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 01:11:59,609 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 01:11:59,609 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 01:11:59,610 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 01:11:59,610 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 01:11:59,610 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 01:11:59,610 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 01:11:59,610 - __main__ - INFO - Action dimension: 88
2025-04-29 01:11:59,610 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 01:11:59,611 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 01:11:59,611 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 01:11:59,611 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 01:11:59,829 - __main__ - INFO - Using device: cuda
2025-04-29 01:12:00,869 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-29 01:12:00,870 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=2048, replay_size=10000, num_simulations=100
2025-04-29 01:12:00,870 - __main__ - INFO - ==================================================
2025-04-29 01:12:00,992 - __main__ - INFO - Loading model from models/alphazero_final.pth
2025-04-29 01:12:00,994 - __main__ - INFO - Loaded model from iteration 6
2025-04-29 01:12:00,996 - __main__ - INFO - Starting AlphaZero training from iteration 7 for 1 iterations
2025-04-29 01:12:00,997 - __main__ - INFO - Starting iteration 7/7
2025-04-29 01:12:00,997 - __main__ - INFO - Starting self-play phase
2025-04-29 01:12:00,997 - __main__ - INFO - Current curriculum stage: {'max_tokens': 4, 'min_score': 5}
2025-04-29 01:12:01,010 - __main__ - INFO - Starting game 1/20
2025-04-29 01:12:02,653 - __main__ - DEBUG - Game 1, Step 1: Player 0 chose action 4
2025-04-29 01:12:03,201 - __main__ - DEBUG - Game 1, Step 2: Player 1 chose action 0
2025-04-29 01:12:03,747 - __main__ - DEBUG - Game 1, Step 3: Player 2 chose action 4
2025-04-29 01:12:04,210 - __main__ - DEBUG - Game 1, Step 4: Player 3 chose action 4
2025-04-29 01:12:04,687 - __main__ - DEBUG - Game 1, Step 5: Player 0 chose action 4
2025-04-29 01:12:05,252 - __main__ - DEBUG - Game 1, Step 6: Player 1 chose action 0
2025-04-29 01:12:05,721 - __main__ - DEBUG - Game 1, Step 7: Player 2 chose action 4
2025-04-29 01:12:06,174 - __main__ - DEBUG - Game 1, Step 8: Player 3 chose action 25
2025-04-29 01:12:06,625 - __main__ - DEBUG - Game 1, Step 9: Player 0 chose action 4
2025-04-29 01:12:07,092 - __main__ - DEBUG - Game 1, Step 10: Player 1 chose action 0
2025-04-29 01:12:07,538 - __main__ - DEBUG - Game 1, Step 11: Player 2 chose action 0
2025-04-29 01:12:08,062 - __main__ - DEBUG - Game 1, Step 12: Player 3 chose action 4
2025-04-29 01:12:08,650 - __main__ - DEBUG - Game 1, Step 13: Player 0 chose action 0
2025-04-29 01:12:09,251 - __main__ - DEBUG - Game 1, Step 14: Player 1 chose action 3
2025-04-29 01:12:09,904 - __main__ - DEBUG - Game 1, Step 15: Player 2 chose action 1
2025-04-29 01:12:10,546 - __main__ - DEBUG - Game 1, Step 16: Player 3 chose action 1
2025-04-29 01:12:11,112 - __main__ - DEBUG - Game 1, Step 17: Player 0 chose action 46
2025-04-29 01:12:11,690 - __main__ - DEBUG - Game 1, Step 18: Player 1 chose action 12
2025-04-29 01:12:12,297 - __main__ - DEBUG - Game 1, Step 19: Player 2 chose action 52
