2025-04-22 00:35:06,595 - AlphaZero-Training - INFO - Game 112: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:08,400 - AlphaZero-Training - INFO - Game 114: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:10,034 - AlphaZero-Training - INFO - Game 116: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:12,026 - AlphaZero-Training - INFO - Game 118: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:13,866 - AlphaZero-Training - INFO - Game 120: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:15,382 - AlphaZero-Training - INFO - Game 122: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:17,441 - AlphaZero-Training - INFO - Game 124: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:19,648 - AlphaZero-Training - INFO - Game 126: 1 steps, reward: 17, actions: 1
2025-04-22 00:35:21,770 - AlphaZero-Training - INFO - Game 128: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:23,970 - AlphaZero-Training - INFO - Game 130: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:25,624 - AlphaZero-Training - INFO - Game 132: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:27,660 - AlphaZero-Training - INFO - Game 134: 3 steps, reward: 16.200000000000003, actions: 3
2025-04-22 00:35:29,480 - AlphaZero-Training - INFO - Game 136: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:31,381 - AlphaZero-Training - INFO - Game 138: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:33,615 - AlphaZero-Training - INFO - Game 140: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:35,361 - AlphaZero-Training - INFO - Game 142: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:37,084 - AlphaZero-Training - INFO - Game 144: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:38,743 - AlphaZero-Training - INFO - Game 146: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:40,402 - AlphaZero-Training - INFO - Game 148: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:42,257 - AlphaZero-Training - INFO - Game 150: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:43,970 - AlphaZero-Training - INFO - Game 152: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:45,732 - AlphaZero-Training - INFO - Game 154: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:47,575 - AlphaZero-Training - INFO - Game 156: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:49,479 - AlphaZero-Training - INFO - Game 158: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:50,822 - AlphaZero-Training - INFO - Game 160: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:52,357 - AlphaZero-Training - INFO - Game 162: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:54,008 - AlphaZero-Training - INFO - Game 164: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:55,730 - AlphaZero-Training - INFO - Game 166: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:57,517 - AlphaZero-Training - INFO - Game 168: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:35:59,480 - AlphaZero-Training - INFO - Game 170: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:01,359 - AlphaZero-Training - INFO - Game 172: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:02,904 - AlphaZero-Training - INFO - Game 174: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:04,818 - AlphaZero-Training - INFO - Game 176: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:06,468 - AlphaZero-Training - INFO - Game 178: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:08,343 - AlphaZero-Training - INFO - Game 180: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:10,413 - AlphaZero-Training - INFO - Game 182: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:12,164 - AlphaZero-Training - INFO - Game 184: 2 steps, reward: -0.8, actions: 2
2025-04-22 00:36:14,183 - AlphaZero-Training - INFO - Game 186: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:16,039 - AlphaZero-Training - INFO - Game 188: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:36:17,836 - AlphaZero-Training - INFO - Game 190: 1 steps, reward: -0.4, actions: 1
