2025-04-22 00:05:11,621 - AlphaZero-Training - INFO - State shape: 162, Action size: 88
2025-04-22 00:05:13,639 - AlphaZero-Training - INFO - Starting iteration 1/1000
2025-04-22 00:05:18,128 - AlphaZero-Training - INFO - Game 0: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:20,807 - AlphaZero-Training - INFO - Game 2: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:23,361 - AlphaZero-Training - INFO - Game 4: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:25,840 - AlphaZero-Training - INFO - Game 6: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:28,063 - AlphaZero-Training - INFO - Game 8: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:30,553 - AlphaZero-Training - INFO - Game 10: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:33,157 - AlphaZero-Training - INFO - Game 12: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:35,456 - AlphaZero-Training - INFO - Game 14: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:37,863 - AlphaZero-Training - INFO - Game 16: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:40,587 - AlphaZero-Training - INFO - Game 18: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:42,783 - AlphaZero-Training - INFO - Game 20: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:45,572 - AlphaZero-Training - INFO - Game 22: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:48,038 - AlphaZero-Training - INFO - Game 24: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:50,784 - AlphaZero-Training - INFO - Game 26: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:53,576 - AlphaZero-Training - INFO - Game 28: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:55,876 - AlphaZero-Training - INFO - Game 30: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:05:58,004 - AlphaZero-Training - INFO - Game 32: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:00,140 - AlphaZero-Training - INFO - Game 34: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:02,617 - AlphaZero-Training - INFO - Game 36: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:05,337 - AlphaZero-Training - INFO - Game 38: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:07,906 - AlphaZero-Training - INFO - Game 40: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:10,169 - AlphaZero-Training - INFO - Game 42: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:12,620 - AlphaZero-Training - INFO - Game 44: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:15,274 - AlphaZero-Training - INFO - Game 46: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:17,441 - AlphaZero-Training - INFO - Game 48: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:19,691 - AlphaZero-Training - INFO - Game 50: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:22,272 - AlphaZero-Training - INFO - Game 52: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:24,797 - AlphaZero-Training - INFO - Game 54: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:27,095 - AlphaZero-Training - INFO - Game 56: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:29,824 - AlphaZero-Training - INFO - Game 58: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:32,091 - AlphaZero-Training - INFO - Game 60: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:34,318 - AlphaZero-Training - INFO - Game 62: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:36,752 - AlphaZero-Training - INFO - Game 64: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:39,229 - AlphaZero-Training - INFO - Game 66: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:41,776 - AlphaZero-Training - INFO - Game 68: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:44,494 - AlphaZero-Training - INFO - Game 70: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:46,895 - AlphaZero-Training - INFO - Game 72: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:49,301 - AlphaZero-Training - INFO - Game 74: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:51,959 - AlphaZero-Training - INFO - Game 76: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:54,490 - AlphaZero-Training - INFO - Game 78: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:57,214 - AlphaZero-Training - INFO - Game 80: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:06:59,983 - AlphaZero-Training - INFO - Game 82: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:02,366 - AlphaZero-Training - INFO - Game 84: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:04,830 - AlphaZero-Training - INFO - Game 86: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:07,564 - AlphaZero-Training - INFO - Game 88: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:09,916 - AlphaZero-Training - INFO - Game 90: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:12,246 - AlphaZero-Training - INFO - Game 92: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:14,923 - AlphaZero-Training - INFO - Game 94: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:17,675 - AlphaZero-Training - INFO - Game 96: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:19,912 - AlphaZero-Training - INFO - Game 98: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:22,300 - AlphaZero-Training - INFO - Game 100: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:25,075 - AlphaZero-Training - INFO - Game 102: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:27,702 - AlphaZero-Training - INFO - Game 104: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:30,557 - AlphaZero-Training - INFO - Game 106: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:33,032 - AlphaZero-Training - INFO - Game 108: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:35,482 - AlphaZero-Training - INFO - Game 110: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:38,130 - AlphaZero-Training - INFO - Game 112: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:40,674 - AlphaZero-Training - INFO - Game 114: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:43,258 - AlphaZero-Training - INFO - Game 116: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:46,154 - AlphaZero-Training - INFO - Game 118: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:48,828 - AlphaZero-Training - INFO - Game 120: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:51,157 - AlphaZero-Training - INFO - Game 122: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:53,817 - AlphaZero-Training - INFO - Game 124: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:56,636 - AlphaZero-Training - INFO - Game 126: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:07:59,171 - AlphaZero-Training - INFO - Game 128: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:01,563 - AlphaZero-Training - INFO - Game 130: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:04,197 - AlphaZero-Training - INFO - Game 132: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:06,722 - AlphaZero-Training - INFO - Game 134: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:09,489 - AlphaZero-Training - INFO - Game 136: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:11,757 - AlphaZero-Training - INFO - Game 138: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:14,069 - AlphaZero-Training - INFO - Game 140: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:17,209 - AlphaZero-Training - INFO - Game 142: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:19,594 - AlphaZero-Training - INFO - Game 144: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:22,160 - AlphaZero-Training - INFO - Game 146: 1 steps, reward: -0.4, actions: 1
2025-04-22 00:08:24,783 - AlphaZero-Training - INFO - Game 148: 1 steps, reward: -0.4, actions: 1
