2025-04-15 21:08:33,158 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:08:34,564 - INFO - Player 3, Action 6, Total tokens 7, Next player 3
2025-04-15 21:08:34,566 - INFO - Player 0, Action 64, Total tokens 10, Next player 0
2025-04-15 21:08:34,568 - INFO - Player 1, Action 5, Total tokens 12, Next player 1
2025-04-15 21:08:34,572 - INFO - Player 2, Action 56, Total tokens 6, Next player 2
2025-04-15 21:08:34,574 - INFO - Player 3, Action 28, Total tokens 9, Next player 3
2025-04-15 21:08:34,577 - INFO - Player 0, Action 14, Total tokens 12, Next player 0
2025-04-15 21:08:34,579 - INFO - Player 1, Action 65, Total tokens 10, Next player 1
2025-04-15 21:08:34,583 - INFO - Player 2, Action 50, Total tokens 7, Next player 2
2025-04-15 21:08:34,585 - INFO - Player 3, Action 1, Total tokens 10, Next player 3
2025-04-15 21:08:34,587 - INFO - Player 0, Action 78, Total tokens 9, Next player 0
2025-04-15 21:08:34,589 - INFO - Player 1, Action 19, Total tokens 13, Next player 1
2025-04-15 21:08:34,592 - INFO - Player 2, Action 3, Total tokens 8, Next player 2
2025-04-15 21:08:34,596 - INFO - Player 3, Action 50, Total tokens 11, Next player 3
2025-04-15 21:08:34,600 - INFO - Player 0, Action 30, Total tokens 7, Next player 0
2025-04-15 21:08:34,601 - INFO - Player 1, Action 79, Total tokens 10, Next player 1
2025-04-15 21:08:34,603 - INFO - Player 2, Action 26, Total tokens 10, Next player 2
2025-04-15 21:08:34,605 - INFO - Player 3, Action 57, Total tokens 10, Next player 3
2025-04-15 21:08:34,607 - INFO - Player 0, Action 4, Total tokens 8, Next player 0
2025-04-15 21:08:34,609 - INFO - Player 1, Action 13, Total tokens 12, Next player 1
2025-04-15 21:08:34,612 - INFO - Player 2, Action 54, Total tokens 3, Next player 2
2025-04-15 21:08:34,615 - INFO - Player 3, Action 8, Total tokens 12, Next player 3
2025-04-15 21:08:34,618 - INFO - Player 0, Action 32, Total tokens 7, Next player 0
2025-04-15 21:08:34,620 - INFO - Player 0, Action 58, Total tokens 11, Next player 0
2025-04-15 21:08:34,621 - INFO - Player 1, Action 84, Total tokens 9, Next player 1
2025-04-15 21:08:34,623 - INFO - Player 2, Action 26, Total tokens 5, Next player 2
2025-04-15 21:08:34,625 - INFO - Player 3, Action 64, Total tokens 10, Next player 3
2025-04-15 21:08:34,628 - INFO - Player 0, Action 16, Total tokens 10, Next player 0
2025-04-15 21:08:34,630 - INFO - Player 1, Action 26, Total tokens 11, Next player 1
2025-04-15 21:08:34,633 - INFO - Player 2, Action 11, Total tokens 7, Next player 2
2025-04-15 21:08:34,636 - INFO - Player 3, Action 2, Total tokens 11, Next player 3
2025-04-15 21:08:34,640 - INFO - Player 0, Action 32, Total tokens 7, Next player 0
2025-04-15 21:08:34,642 - INFO - Player 1, Action 58, Total tokens 10, Next player 1
2025-04-15 21:08:34,644 - INFO - Player 2, Action 5, Total tokens 9, Next player 2
2025-04-15 21:08:34,646 - INFO - Player 3, Action 86, Total tokens 9, Next player 3
2025-04-15 21:08:34,649 - INFO - Player 0, Action 27, Total tokens 9, Next player 0
2025-04-15 21:08:34,651 - INFO - Player 1, Action 27, Total tokens 12, Next player 1
2025-04-15 21:08:34,653 - INFO - Player 2, Action 4, Total tokens 10, Next player 2
2025-04-15 21:08:34,656 - INFO - Player 3, Action 29, Total tokens 11, Next player 3
2025-04-15 21:08:34,659 - INFO - Player 0, Action 33, Total tokens 6, Next player 0
2025-04-15 21:08:34,660 - INFO - Player 0, Action 58, Total tokens 11, Next player 0
2025-04-15 21:08:34,662 - INFO - Player 1, Action 79, Total tokens 8, Next player 1
2025-04-15 21:08:34,664 - INFO - Player 2, Action 42, Total tokens 11, Next player 2
2025-04-15 21:08:34,667 - INFO - Player 3, Action 81, Total tokens 8, Next player 3
2025-04-15 21:08:34,670 - INFO - Player 0, Action 27, Total tokens 8, Next player 0
2025-04-15 21:08:34,673 - INFO - Player 1, Action 33, Total tokens 5, Next player 1
2025-04-15 21:08:34,675 - INFO - Player 2, Action 71, Total tokens 9, Next player 2
2025-04-15 21:08:34,677 - INFO - Player 3, Action 5, Total tokens 10, Next player 3
2025-04-15 21:08:34,680 - INFO - Player 0, Action 5, Total tokens 10, Next player 0
2025-04-15 21:08:34,683 - INFO - Player 1, Action 31, Total tokens 3, Next player 1
2025-04-15 21:08:34,686 - INFO - Player 2, Action 29, Total tokens 11, Next player 2
